event_num,cc,dis,qel,res,xsec
135,True,False,True,False,0.02630972201140926
136,True,False,True,False,0.6612261872054982
137,True,False,True,False,1.304776942642585
138,True,False,True,False,1.3278697963019552
139,True,False,True,False,0.3803681076418354
140,True,False,True,False,1.3840816011420876
141,True,False,True,False,0.20596781170299713
142,True,False,True,False,0.40821398273131904
143,True,False,True,False,1.2648541715428951
144,True,False,True,False,1.2953693521105254
145,True,False,True,False,1.445559637373356
146,True,False,True,False,1.4220554878299512
147,True,False,True,False,0.6009072092630406
148,True,False,True,False,1.3508630566103144
149,True,False,True,False,1.0207191647346259
150,True,False,True,False,1.2425472357866163
151,True,False,True,False,1.3877145186716497
152,True,False,True,False,1.287396622461628
153,True,False,True,False,0.7045745081715836
154,True,False,True,False,0.8863682936773768
155,True,False,True,False,0.8569393203857518
156,True,False,True,False,0.32882348362776376
157,True,False,True,False,1.326026678446247
158,True,False,True,False,0.7106441133380887
159,True,False,True,False,1.0354691505321558
160,True,False,True,False,1.2241818274348222
161,True,False,True,False,1.25018533755225
162,True,False,True,False,1.4087828202206027
163,True,False,True,False,1.4413798199691576
164,True,False,True,False,1.485200552363668
165,True,False,True,False,1.3601039968095854
166,True,False,True,False,0.09900500683015269
167,True,False,True,False,1.3078629098724195
168,True,False,True,False,1.088208925401019
169,True,False,True,False,0.8899442880237475
170,True,False,True,False,1.1776349967619653
171,True,False,True,False,0.8777870474993412
172,True,False,True,False,1.22764579591265
173,True,False,True,False,1.5005656773948326
174,True,False,True,False,0.7981732318751851
175,True,False,True,False,1.322249505355035
176,True,False,True,False,1.4318712091509442
177,True,False,True,False,1.3906600339311395
178,True,False,True,False,0.39804628019701355
179,True,False,True,False,0.3381951895900875
180,True,False,True,False,1.2012883850617402
181,True,False,True,False,0.7480907932631489
182,True,False,True,False,1.5133338737665973
183,True,False,True,False,1.0566035342099864
184,True,False,True,False,0.04631381977422503
185,True,False,True,False,0.9991597632662357
186,True,False,True,False,1.1932658220291448
187,True,False,True,False,1.4890934722927556
188,True,False,True,False,0.9802502633597047
189,True,False,True,False,1.062254563649456
