# ice_absorption,ice_scattering,offset,opt_eff_headon,opt_eff_lateral,opt_eff_overall,coin_fraction,pid,reco_coszen,reco_energy
-1.181631,-0.941739,0.985489,0.051802,-0.006182,0.568550,-0.006786,1,0.700,36.9
-0.380286,-1.221864,0.903479,0.044268,-0.019890,0.567229,0.033582,0,0.900,36.9
-0.319463,-0.969284,0.824715,0.046152,-0.001995,0.297042,-0.155616,1,0.900,36.9
-0.608182,2.420591,1.107060,-0.056179,0.005278,2.019717,0.120906,0,-0.900,49.2
-2.067404,0.745236,1.096614,-0.009753,0.002619,0.626726,-0.067548,1,-0.900,49.2
0.150085,1.193041,0.974208,-0.028595,0.006342,0.985052,-0.039123,0,-0.700,49.2
-0.948051,-0.639682,0.887412,-0.009063,0.009942,1.006782,-0.089582,1,-0.700,49.2
-0.653111,1.093934,1.023510,-0.022685,0.002007,1.141728,0.064580,0,-0.500,49.2
-2.105074,2.215434,1.045105,-0.018333,0.007701,1.695737,-0.123893,1,-0.500,49.2
-0.841932,2.389112,1.088519,-0.023543,0.001833,0.649005,0.121953,0,-0.300,49.2
-1.055343,1.725525,0.901581,-0.013878,-0.003865,1.106048,0.202665,1,-0.300,49.2
0.010152,0.618457,1.023050,-0.007881,0.011833,1.213581,0.051790,0,-0.100,49.2
-0.132442,-0.104038,1.096055,0.005863,0.000382,1.755461,0.174089,1,-0.100,49.2
0.177003,0.602952,1.026758,0.032767,0.000815,1.183780,0.102939,0,0.100,49.2
-1.343721,0.044312,1.048124,0.061248,0.002765,1.301343,0.089182,1,0.100,49.2
0.146393,-0.390397,1.014160,0.023532,-0.004784,0.889125,0.074026,0,0.300,49.2
-0.699773,0.499906,0.997357,0.026622,-0.018924,1.084470,0.188878,1,0.300,49.2
-0.344323,-1.014176,0.989751,0.011271,0.001690,0.788580,0.127991,0,0.500,49.2
-1.209827,-1.041211,1.006380,0.006129,0.000950,1.030991,0.078105,1,0.500,49.2
0.048953,-1.462071,1.011140,0.039177,-0.011458,0.901623,0.073324,0,0.700,49.2
-1.102576,-3.156707,0.994186,-0.000024,-0.005581,1.185453,-0.078997,1,0.700,49.2
0.836286,-2.349275,0.958476,0.024389,0.000306,1.191174,0.061002,0,0.900,49.2
-2.819020,-2.269631,1.037869,0.056366,-0.016996,0.425414,0.147885,1,0.900,49.2
