# pdg,pid,reco_coszen,reco_energy,true_energy,true_coszen,weight
13,1,0.500,27.7,252.254992,0.531915,3.315273e-08
13,1,-0.500,36.9,217.755814,0.574990,2.936850e-08
13,0,0.500,36.9,191.728879,0.432018,1.158844e-08
13,0,0.500,15.6,214.286826,0.512400,2.561813e-08
13,1,-0.100,36.9,218.093885,0.573784,3.397976e-08
13,1,0.100,20.7,232.548771,0.579256,2.919508e-08
13,0,0.100,20.7,194.960978,0.529966,2.401378e-08
13,1,0.700,49.2,245.216689,0.544710,1.961054e-08
13,1,0.500,36.9,234.607217,0.546701,2.788526e-08
13,1,0.300,49.2,371.078509,0.467607,2.060453e-08
13,1,0.300,36.9,256.185957,0.532122,2.911418e-08
13,1,0.500,36.9,437.724220,0.299633,7.865690e-09
13,1,0.700,15.6,206.154909,0.572307,3.169262e-08
13,0,0.900,20.7,199.976961,0.581869,2.941126e-08
13,1,0.300,27.7,243.863923,0.512721,2.356097e-08
13,0,0.300,11.7,201.576503,0.403008,1.945201e-08
13,1,0.500,36.9,213.264634,0.550292,2.766524e-08
13,0,0.100,49.2,301.388974,0.693571,5.682679e-08
13,0,0.300, 8.7,206.137105,0.348471,1.520943e-08
13,1,0.700,27.7,241.559068,0.694977,4.040483e-08
13,0,0.500,20.7,213.794240,0.458196,2.340352e-08
13,1,0.900,36.9,180.457961,0.332179,8.772837e-09
13,0,0.300,27.7,202.280294,0.581711,2.686728e-08
13,1,0.500,11.7,204.032682,0.448300,1.378228e-08
13,0,0.100,36.9,177.733068,0.274381,4.063877e-09
13,1,0.900,36.9,224.239165,0.555534,2.116769e-08
13,0,0.900,20.7,254.653740,0.492322,2.724299e-08
13,1,0.700,49.2,344.468185,0.749435,3.987104e-08
13,0,0.900,11.7,268.087396,0.814326,4.913791e-08
13,1,0.500,27.7,253.638252,0.589726,2.838534e-08
13,1,0.900,36.9,219.322365,0.289774,5.115592e-09
13,0,-0.700,15.6,219.465764,0.535486,2.653190e-08
13,1,-0.300,20.7,182.231495,0.484475,2.677195e-08
13,0,-0.300,20.7,201.289762,0.259066,8.290561e-09
13,0,0.700,27.7,205.090151,0.540080,2.543214e-08
13,0,0.700,49.2,254.308901,0.560496,3.035994e-08
13,0,0.300,27.7,194.476524,0.431382,1.725879e-08
13,1,0.900,36.9,295.226985,0.646683,2.790915e-08
13,1,-0.100,20.7,199.490565,0.372421,1.769990e-08
13,0,0.100,36.9,255.151505,0.507100,3.052214e-08
13,1,0.300,49.2,260.536036,0.421189,1.298919e-08
13,1,0.500,20.7,233.394651,0.234962,2.544045e-09
13,0,0.500,15.6,242.960558,0.680626,4.030346e-08
13,1,-0.900,36.9,224.657958,0.472439,2.595101e-08
13,1,0.500,49.2,271.393012,0.473816,2.763788e-08
13,0,-0.700,20.7,213.864872,0.459375,1.610281e-08
13,0,0.500,15.6,194.368631,0.464793,2.322920e-08
13,1,0.100,36.9,230.998825,0.438865,1.698488e-08
13,1,-0.300,27.7,265.056644,0.701626,5.522387e-08
13,0,0.500,49.2,223.792981,0.655619,3.178278e-08
13,0,0.500,27.7,206.139184,0.492132,2.424081e-08
13,0,0.500,36.9,209.797379,0.498189,2.745648e-08
13,1,0.700,27.7,236.884028,0.611760,2.797328e-08
13,0,-0.300,15.6,244.211384,0.618984,3.105814e-08
13,0,0.500,11.7,243.826049,0.669016,4.373956e-08
13,0,0.900,27.7,251.164689,0.599918,3.353078e-08
13,0,0.300,11.7,355.935153,0.476782,1.834621e-08
13,1,0.700,49.2,268.760250,0.706397,4.129984e-08
13,1,0.900,36.9,259.002376,0.761203,4.988991e-08
13,1,0.100,27.7,228.214558,0.253867,8.440077e-09
13,1,-0.500,15.6,198.898407,0.549014,2.731819e-08
13,0,0.700,27.7,299.056901,0.626874,4.241802e-08
13,1,0.700,49.2,472.566533,0.441775,2.783994e-08
13,1,0.700,11.7,266.551898,0.728622,4.396156e-08
13,0,0.300,27.7,225.444251,0.546357,2.623750e-08
13,1,0.500,27.7,239.201305,0.509538,2.966560e-08
13,0,-0.700, 8.7,264.135834,0.679393,4.355087e-08
13,0,0.900,15.6,235.742558,0.451465,2.706129e-08
13,1,-0.100,27.7,281.595756,0.990112,8.545895e-08
13,0,-0.500,36.9,390.911605,0.467001,2.746102e-08
13,0,-0.700,11.7,242.110654,0.750193,4.357130e-08
13,0,-0.300,36.9,217.759262,0.463472,2.719739e-08
13,1,0.700,15.6,257.473811,0.698145,4.129006e-08
13,1,0.100,49.2,227.425626,0.253059,6.844832e-09
13,1,0.300,27.7,285.951494,0.437336,2.488832e-08
13,1,0.700,27.7,263.163997,0.706953,3.135059e-08
13,1,0.500,27.7,251.066424,0.508921,2.332221e-08
13,0,0.700,11.7,284.407503,0.406779,2.513532e-08
13,0,0.300,20.7,213.563273,0.396030,1.754727e-08
13,1,0.700,36.9,256.665229,0.591970,3.478692e-08
13,0,0.300,49.2,272.853239,0.537622,2.016321e-08
13,1,0.500,20.7,171.365489,0.274774,9.208345e-09
13,1,0.700,36.9,203.160259,0.520808,2.308956e-08
13,1,0.100,20.7,226.032321,0.565184,4.060437e-08
13,0,0.100,15.6,193.575056,0.469990,2.482920e-08
13,0,0.500,27.7,211.955198,0.589906,3.338483e-08
13,1,0.700,49.2,302.835610,0.676910,3.446221e-08
13,0,0.300,11.7,382.733453,0.721086,4.568902e-08
13,0,0.300,15.6,244.382585,0.542488,3.465799e-08
13,1,0.100,49.2,177.707379,0.309312,8.569316e-09
13,0,-0.300,36.9,180.763882,0.357845,1.473975e-08
13,0,0.700,20.7,276.869773,0.469232,1.540600e-08
13,0,0.700,11.7,258.917117,0.543768,2.928097e-08
13,0,0.300, 6.6,310.748962,0.787380,6.992839e-08
13,0,-0.100,27.7,229.860216,0.408638,1.802598e-08
13,0,0.300,27.7,253.639663,0.313795,1.514641e-08
13,0,-0.900,20.7,189.834780,0.379365,1.783904e-08
13,0,0.900,11.7,248.931844,0.725389,4.703170e-08
13,1,0.500,27.7,228.367727,0.503720,2.448806e-08
13,0,-0.500,11.7,223.934116,0.662604,3.615270e-08
13,0,0.100,36.9,232.943695,0.616736,3.327436e-08
13,1,-0.300,27.7,164.753874,0.137587,2.028080e-10
13,1,0.900,20.7,206.892418,0.291847,6.298797e-09
13,1,0.500,27.7,498.787698,0.349749,1.134209e-08
13,0,0.500,15.6,207.041992,0.513437,2.492716e-08
13,0,0.100,15.6,227.333823,0.397527,1.863355e-08
13,0,0.700,27.7,283.460683,0.601822,4.047834e-08
13,0,0.700,36.9,199.553244,0.424132,2.098217e-08
13,0,0.900,20.7,219.646198,0.637615,3.642039e-08
13,0,0.700,20.7,249.252291,0.508198,3.067699e-08
13,0,0.500,27.7,202.323682,0.380291,1.967716e-08
13,1,0.300,36.9,226.918116,0.279366,5.138849e-09
13,1,0.700,27.7,244.915496,0.427507,2.420916e-08
13,0,0.100,20.7,203.679209,0.587213,3.503614e-08
13,1,0.700,20.7,208.710308,0.536154,3.096249e-08
13,1,0.700,36.9,215.147259,0.622673,2.611851e-08
13,1,0.300,27.7,245.933282,0.595996,3.348274e-08
13,0,0.500,15.6,255.648714,0.727297,5.213348e-08
13,0,0.900,15.6,177.969148,0.324302,1.120449e-08
13,1,0.700,15.6,264.264561,0.612086,2.558895e-08
