# ice_absorption,ice_scattering,offset,opt_eff_headon,opt_eff_lateral,opt_eff_overall,coin_fraction,pid,reco_coszen,reco_energy
-0.762176,1.105264,0.987919,-0.012786,0.000606,1.010620,-0.043094,1,-0.900,36.9
-0.700513,1.289449,1.017105,-0.024379,0.003520,1.396775,-0.040654,0,-0.700,36.9
-0.589486,0.531379,1.010091,-0.018262,0.004244,1.230048,0.019412,1,-0.700,36.9
-0.470864,1.330953,0.992934,-0.016928,0.004535,1.271281,-0.048864,0,-0.500,36.9
-0.648977,0.153248,0.979644,-0.013719,0.000538,1.028653,0.011933,1,-0.500,36.9
-0.677963,1.706730,1.007449,-0.011384,0.004151,1.531494,-0.043795,0,-0.300,36.9
-0.455073,0.366527,0.990302,-0.012042,0.003639,0.953172,0.020442,1,-0.300,36.9
-0.453970,0.748561,0.972548,0.001053,-0.000209,1.093977,-0.010274,0,-0.100,36.9
-0.294466,0.345667,1.000249,0.000800,-0.001129,0.866844,-0.005778,1,-0.100,36.9
-0.240737,0.445002,0.989840,0.015166,-0.001987,1.359117,-0.039780,0,0.100,36.9
-0.110838,-0.161746,1.020130,0.000503,-0.002134,0.758558,0.027874,1,0.100,36.9
0.052765,-0.209117,1.018878,0.024993,-0.000499,1.234539,0.007779,0,0.300,36.9
-0.289366,-0.185590,1.009971,0.005152,-0.002863,0.491763,0.044277,1,0.300,36.9
-0.176639,0.348766,0.983643,0.026522,-0.004584,1.179344,0.013958,0,0.500,36.9
0.225693,-0.445651,0.977589,0.011867,0.000885,0.334833,0.068070,1,0.500,36.9
-0.265380,-0.132869,1.000322,0.037850,0.002011,0.908157,0.018744,0,0.700,36.9
0.489584,-0.741939,0.994306,0.021655,-0.002064,-0.231161,0.052204,1,0.700,36.9
0.259385,-0.662607,0.997415,0.042883,-0.013008,0.942068,-0.051831,0,0.900,36.9
0.856847,-1.093005,0.991233,0.022330,0.000667,-0.593092,0.095865,1,0.900,36.9
-0.674324,1.318626,0.998122,-0.044157,0.002831,1.302989,0.020290,0,-0.900,49.2
-1.057677,1.615831,1.006372,-0.019002,0.004719,1.319978,0.029448,1,-0.900,49.2
-0.678399,1.629560,0.960947,-0.023769,0.001187,1.447488,0.047485,0,-0.700,49.2
-0.671751,0.877795,0.992315,-0.023998,0.007122,1.389202,0.038578,1,-0.700,49.2
-0.852811,1.448274,0.989940,-0.031693,0.005251,1.267638,0.084500,0,-0.500,49.2
-0.523282,0.673365,0.960350,-0.015223,0.003821,1.190825,0.020994,1,-0.500,49.2
-0.735647,1.905730,1.028072,-0.014040,0.001668,1.485594,0.035506,0,-0.300,49.2
-0.770304,0.491319,0.978163,-0.009665,0.000710,1.230956,0.087330,1,-0.300,49.2
-0.559761,1.204735,0.987526,0.016176,0.001415,1.526350,0.026258,0,-0.100,49.2
-0.542934,0.169349,0.972567,-0.002350,0.000393,1.155643,0.107802,1,-0.100,49.2
-0.200416,0.833469,1.008221,0.019330,-0.000791,1.351876,0.058052,0,0.100,49.2
-0.338277,0.481511,0.981268,0.002462,0.000307,1.022022,0.117502,1,0.100,49.2
-0.389042,0.546131,1.035597,0.024444,0.001056,0.955365,0.052750,0,0.300,49.2
-0.490109,0.355091,1.006138,0.009745,-0.000666,0.839511,0.094994,1,0.300,49.2
-0.147901,-0.248039,0.988831,0.019869,0.000305,0.943593,0.102447,0,0.500,49.2
-0.106498,-0.353466,0.992201,0.005521,-0.002986,0.757346,0.108045,1,0.500,49.2
-0.192102,-0.742472,0.968503,0.034878,-0.004418,1.205900,0.075087,0,0.700,49.2
0.255247,-0.626345,1.002931,0.020413,-0.003065,0.239333,0.161901,1,0.700,49.2
-0.254917,-0.229082,1.005330,0.014221,-0.008077,0.996304,0.030892,0,0.900,49.2
0.367937,-0.395994,1.015227,0.016231,-0.000698,-0.007610,0.156626,1,0.900,49.2
