# ice_absorption,ice_absorption_expslope,ice_scattering,offset,opt_eff_headon,opt_eff_lateral,opt_eff_overall,opt_eff_overall_expslope,pid,reco_coszen,reco_energy
0.747053,8.832190,1.307008,0.675052,0.146043,-0.008233,0.870707,-6.303160,1,0.500,27.7
1.070273,8.496532,-0.726114,0.926394,0.132666,-0.007821,0.515911,-8.235011,0,0.700,27.7
1.535034,6.567176,-4.155463,0.854009,-0.127864,-0.077493,1197.973835,-0.036175,1,0.700,27.7
0.890424,4.569322,4.485281,1.065117,0.117221,0.013930,1168.139140,-0.023216,0,0.900,27.7
2.741311,9.975989,-8.745147,1.498208,-0.412477,0.016004,18.960286,-2.481344,1,0.900,27.7
1.662447,6.285969,1.578806,1.056633,0.026945,-0.019534,1.710882,-6.943070,0,-0.900,36.9
0.858075,9.235127,-0.278840,0.770021,0.060145,0.007406,1.193486,-7.868448,1,-0.900,36.9
1.064299,6.753714,0.152459,0.711343,0.003356,-0.004598,0.834622,-6.938452,0,-0.700,36.9
1.804839,6.707596,-4.671163,1.200594,0.040859,-0.023819,1.715926,-8.141476,1,-0.700,36.9
1.111458,6.246389,0.437708,1.021437,0.047387,-0.027354,0.571115,-8.337129,0,-0.500,36.9
1.622948,5.412526,0.168924,0.921379,-0.004936,0.000798,0.981962,-8.277394,1,-0.500,36.9
0.808948,5.602264,1.408882,0.809470,0.063025,-0.009417,0.144007,-11.402915,0,-0.300,36.9
1.687669,6.654816,-0.024067,1.372071,-0.028931,-0.019010,0.989470,-8.468297,1,-0.300,36.9
0.568433,7.897659,0.588521,0.642347,0.019067,-0.023615,0.545210,-6.734968,0,-0.100,36.9
0.759053,9.934442,1.387376,0.772562,-0.114018,-0.036887,1.960323,-5.145662,1,-0.100,36.9
141.375200,0.017043,1.740756,0.756733,0.132628,-0.000620,2.820758,-2.626124,0,0.100,36.9
0.748327,9.879519,-0.050483,0.981741,0.076761,-0.022318,1.560342,-4.734859,1,0.100,36.9
0.716447,6.968188,0.948484,0.594569,0.020459,-0.000272,1.160268,-4.267449,0,0.300,36.9
95.855832,0.035695,0.669630,0.857508,0.138689,-0.052721,295.030769,-0.034303,1,0.300,36.9
0.871121,7.414964,-2.233994,0.894904,-0.022631,0.021299,1.154241,-5.328088,0,0.500,36.9
0.000001,101.426616,-0.891919,0.451406,0.107994,0.011040,23.112816,-0.420998,1,0.500,36.9
0.083090,18.669686,-1.212547,0.833883,-0.210276,-0.129182,1.637928,-4.356775,0,0.700,36.9
2.289772,4.692410,-6.418772,1.745847,0.279205,0.017761,0.316542,-11.227957,1,0.700,36.9
4.034068,1.396316,-4.149711,1.090427,0.122191,0.003172,0.781519,-4.072596,0,0.900,36.9
7.469075,9.009332,2.265985,1.609959,-1.812674,-0.158932,4.797838,-7.622652,1,0.900,36.9
1.337712,5.915434,2.629505,1.034402,0.034107,-0.000653,4.894627,-2.822132,0,-0.900,49.2
0.659089,9.002479,-1.120202,0.720222,-0.048491,-0.016857,0.811123,-7.943046,1,-0.900,49.2
1.018423,5.869369,1.947589,0.857298,-0.068197,-0.014433,1.375607,-5.487072,0,-0.700,49.2
0.876020,8.955467,-0.191579,0.813792,0.026035,-0.007721,0.649040,-9.044670,1,-0.700,49.2
0.227887,17.493327,1.007582,0.754024,0.068684,-0.003328,0.712848,-6.011869,0,-0.500,49.2
1.084640,7.050231,-0.522846,0.995837,0.065037,0.000917,1.173535,-7.417870,1,-0.500,49.2
131.772242,0.036516,2.559027,0.359822,-0.028294,0.004262,5.835506,-1.908453,0,-0.300,49.2
1.604595,2.493693,1.711745,1.030546,0.096182,0.002703,0.220715,-11.033378,1,-0.300,49.2
258.302877,0.009873,0.850105,0.757958,0.159807,0.025612,0.304490,-6.444696,0,-0.100,49.2
294.963006,0.009168,1.732393,0.652553,0.123839,0.027364,0.073037,-11.374494,1,-0.100,49.2
428.086238,0.015068,3.803171,0.681188,-0.087197,-0.024613,323.378168,-0.062502,0,0.100,49.2
1.352379,1.838125,0.301749,0.469090,0.093241,0.005418,0.109339,-9.584673,1,0.100,49.2
0.000000,107.893756,3.236892,0.749534,-0.584375,-0.017491,0.578970,-8.542588,0,0.300,49.2
1.345785,5.138259,-1.508740,1.493494,0.038733,-0.070522,0.676245,-8.895452,1,0.300,49.2
0.043984,24.240324,0.965919,0.976740,0.261031,0.057922,114.720739,-0.009027,0,0.500,49.2
0.462628,1.481195,1.014418,0.450001,-0.117000,-0.047784,0.010553,-16.919612,1,0.500,49.2
268.386726,0.003557,2.989631,0.954225,0.000000,-0.079966,240.076220,-0.019074,0,0.700,49.2
1.492235,2.778605,2.520486,0.876277,0.118861,0.004801,1.525404,-5.734205,1,0.700,49.2
0.000000,3.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-7.000000,0,0.900,49.2
65.145504,0.021725,0.090632,0.669936,0.081891,-0.047141,2.138738,-2.357264,1,0.900,49.2
