event_num,pdg,E,px,py,pz,polx,poly,polz
289,16,10,0,0,10,0,0,0
289,1000080160,14.8951,0,0,0,0,0,0
289,15,6.32382,-0.092683,-0.960319,5.99189,0.0152714,0.158232,-0.987284
296,16,10,0,0,10,0,0,0
296,1000080160,14.8951,0,0,0,0,0,0
296,15,5.13308,-0.780372,-0.0201595,4.75204,0.162047,0.00418618,-0.986774
297,16,10,0,0,10,0,0,0
297,1000080160,14.8951,0,0,0,0,0,0
297,15,8.00103,-0.265736,0.374187,7.78772,0.0340633,-0.0479651,-0.998268
298,16,10,0,0,10,0,0,0
298,1000080160,14.8951,0,0,0,0,0,0
298,15,7.04902,0.42199,0.281638,6.8025,-0.0618627,-0.0412875,-0.99723
300,16,10,0,0,10,0,0,0
300,1000080160,14.8951,0,0,0,0,0,0
300,15,8.84597,-0.729039,0.18891,8.63289,0.0841295,-0.0217998,-0.996216
301,16,10,0,0,10,0,0,0
301,1000080160,14.8951,0,0,0,0,0,0
301,15,9.14212,0.590682,0.241345,8.94505,-0.0658672,-0.0269124,-0.997465
302,16,10,0,0,10,0,0,0
302,1000080160,14.8951,0,0,0,0,0,0
302,15,4.75293,0.487469,0.702967,4.3245,-0.11058,-0.159464,-0.980991
304,16,10,0,0,10,0,0,0
304,1000080160,14.8951,0,0,0,0,0,0
304,15,7.0488,-0.330376,0.573402,6.78899,0.0484339,-0.0840622,-0.995283
307,16,10,0,0,10,0,0,0
307,1000080160,14.8951,0,0,0,0,0,0
307,15,3.19382,-0.127755,-0.147575,2.64673,0.0481381,0.0556066,-0.997292
310,16,10,0,0,10,0,0,0
310,1000080160,14.8951,0,0,0,0,0,0
310,15,3.21288,0.682285,0.0234736,2.5883,-0.254886,-0.00876921,-0.966931
311,16,10,0,0,10,0,0,0
311,1000080160,14.8951,0,0,0,0,0,0
311,15,8.65054,0.730291,0.713749,8.40428,-0.0862607,-0.0843069,-0.992699
314,16,10,0,0,10,0,0,0
314,1000080160,14.8951,0,0,0,0,0,0
314,15,9.28029,0.332446,0.127928,9.10163,-0.0364981,-0.0140447,-0.999235
316,16,10,0,0,10,0,0,0
316,1000080160,14.8951,0,0,0,0,0,0
316,15,7.6434,0.835126,-0.231099,7.38332,-0.112339,0.0310868,-0.993184
318,16,10,0,0,10,0,0,0
318,1000080160,14.8951,0,0,0,0,0,0
318,15,8.38514,-0.116249,0.316946,8.18776,0.0141859,-0.0386769,-0.999151
320,16,10,0,0,10,0,0,0
320,1000080160,14.8951,0,0,0,0,0,0
320,15,9.58295,-0.00753195,0.142663,9.4157,0.000799843,-0.0151498,-0.999885
321,16,10,0,0,10,0,0,0
321,1000080160,14.8951,0,0,0,0,0,0
321,15,8.12359,-0.04168,-0.084546,7.92632,0.00525805,0.0106657,-0.999929
323,16,10,0,0,10,0,0,0
323,1000080160,14.8951,0,0,0,0,0,0
323,15,9.59271,-0.107075,0.764294,9.39507,0,0,0
324,16,10,0,0,10,0,0,0
324,1000080160,14.8951,0,0,0,0,0,0
324,15,9.92995,-0.388677,-0.0576884,9.76178,0,0,0
326,16,10,0,0,10,0,0,0
326,1000080160,14.8951,0,0,0,0,0,0
326,15,8.91834,-0.199987,-0.907206,8.69003,0.0228831,0.103805,-0.994334
327,16,10,0,0,10,0,0,0
327,1000080160,14.8951,0,0,0,0,0,0
327,15,9.50271,-0.433205,0.448352,9.31427,0.046406,-0.0480285,-0.997767
330,16,10,0,0,10,0,0,0
330,1000080160,14.8951,0,0,0,0,0,0
330,15,6.02308,0.76611,0.0722187,5.70334,-0.13312,-0.0125488,-0.99102
332,16,10,0,0,10,0,0,0
332,1000080160,14.8951,0,0,0,0,0,0
332,15,7.87647,0.476034,-0.329819,7.65155,-0.0620367,0.042982,-0.997148
334,16,10,0,0,10,0,0,0
334,1000080160,14.8951,0,0,0,0,0,0
334,15,9.43471,0.647199,-0.285659,9.23884,0,0,0
335,16,10,0,0,10,0,0,0
335,1000080160,14.8951,0,0,0,0,0,0
335,15,8.88672,-0.623483,-0.708319,8.65599,0.0716049,0.081348,-0.99411
338,16,10,0,0,10,0,0,0
338,1000080160,14.8951,0,0,0,0,0,0
